City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
187,Hammerfest,NO,70.6634,23.6821,43.25,100,75,9.22,broken clouds
188,Manta,EC,-0.95,-80.7333,67.78,88,100,6.91,overcast clouds
189,Vila Franca Do Campo,PT,37.7167,-25.4333,75.2,82,100,6.24,overcast clouds
190,Coihaique,CL,-45.5752,-72.0662,38.01,70,0,4.61,clear sky
191,Gilgit,PK,35.9221,74.3087,72.95,24,17,3.44,few clouds
192,Mokshan,RU,53.4365,44.6132,56.41,57,7,8.48,clear sky
193,La Palma,US,33.8464,-118.0467,69.82,91,100,4.61,mist
194,Bajil,YE,15.0584,43.2851,98.1,32,39,19.01,scattered clouds
195,Repalle,IN,16.0167,80.85,79.92,89,99,5.61,overcast clouds
196,Kita,ML,13.0349,-9.4895,89.24,48,38,6.53,scattered clouds
197,Malini,RO,47.4667,26.0833,71.42,47,55,6.11,broken clouds
198,Oum Hadjer,TD,13.2954,19.6966,97.05,22,44,3.56,scattered clouds
199,Celina,US,40.5489,-84.5702,37.71,80,3,2.53,clear sky
200,Mamallapuram,IN,12.6264,80.1722,87.85,78,27,5.39,scattered clouds
201,Gurupi,BR,-11.7292,-49.0686,90.18,39,65,5.35,broken clouds
202,Aswan,EG,24.0934,32.907,96.1,20,0,11.5,clear sky
203,Lahij,YE,13.1667,44.5833,91.18,38,7,16.28,clear sky
204,Capitan Bado,PY,-23.2667,-55.5333,63.5,77,0,12.41,clear sky
205,Falun,SE,60.6036,15.626,55.94,59,4,10.98,clear sky
206,San Andres,CO,12.5847,-81.7006,80.62,83,100,9.22,overcast clouds
207,Tupiza,BO,-21.45,-65.7167,54.1,4,0,5.14,clear sky
208,Bezhetsk,RU,57.7851,36.6965,55.65,62,94,14.9,overcast clouds
209,Toamasina,MG,-18.1667,49.3833,82.4,47,40,6.91,scattered clouds
210,Inhambane,MZ,-23.865,35.3833,84.42,56,35,12.57,scattered clouds
211,Praia Da Vitoria,PT,38.7333,-27.0667,73.65,88,75,5.23,broken clouds
212,Imbituba,BR,-28.24,-48.6703,68.77,58,0,7.09,clear sky
213,Lasa,IT,46.6166,10.7002,67.08,47,18,2.59,few clouds
214,Loubomo,CG,-4.1997,12.6739,84.18,59,87,5.57,overcast clouds
215,Bredasdorp,ZA,-34.5322,20.0403,73.89,48,90,12.66,overcast clouds
216,Mufumbwe,ZM,-13.6833,24.8,95.59,9,0,11.68,clear sky
217,Mwinilunga,ZM,-11.7358,24.4293,92.17,9,2,10.49,clear sky
218,Rum,AT,47.2978,11.4346,63.91,60,75,4.61,broken clouds
219,Sinnamary,GF,5.3833,-52.95,82.6,73,35,8.16,scattered clouds
220,Muhos,FI,64.808,25.9931,49.78,78,45,11.41,scattered clouds
221,Nizwa,OM,22.9333,57.5333,96.03,10,0,7.87,clear sky
222,Naryan-Mar,RU,67.6713,53.087,44.8,77,74,16.8,broken clouds
