Hotel ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
66,Rabo De Peixe,PT,74.28,light intensity shower rain,37.8,-25.5833,Quinta das Giestas
68,Arraial Do Cabo,BR,73.26,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
69,Morro Agudo,BR,74.62,overcast clouds,-20.7314,-48.0578,Hotel Morro Agudo
71,Norwalk,US,69.64,mist,33.9022,-118.0817,DoubleTree by Hilton Hotel Los Angeles - Norwalk
73,Santa Marta,CO,78.89,overcast clouds,11.2408,-74.199,Hotel La Ballena Azul
75,Saldanha,ZA,77.05,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
76,Tabou,CI,79.39,light rain,4.423,-7.3528,hotêl doufoulougou
79,Muros,ES,74.08,clear sky,42.7762,-9.0603,Apartment Av. Castelao
88,Bambous Virieux,MU,77.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
91,Corinto,GR,75.88,clear sky,37.9407,22.9573,Ephira Hotel
96,Nizhniy Baskunchak,RU,65.71,overcast clouds,48.2198,46.8311,Arman hotel
99,Ribeira Grande,PT,75.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
106,Upata,VE,75.2,overcast clouds,8.0086,-62.3989,Posada Villa Nela
107,Santo Antonio Do Monte,BR,72.07,overcast clouds,-20.0872,-45.2936,Hotel Planalto
108,Cidreira,BR,67.24,clear sky,-30.1811,-50.2056,Hotel Castelo
113,Corozal,CO,72.66,overcast clouds,9.3151,-75.2928,Hotel Perla De La Sabana
123,Namibe,AO,74.48,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
126,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
128,Camacha,PT,71.02,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
129,Qarqin,AF,79.02,clear sky,37.4185,66.0436,Hayetmurad
130,Tucuman,AR,66.2,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
132,Manoel Urbano,BR,74.61,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
133,Bosobolo,CD,76.68,light rain,4.1833,19.9,
134,Ponta Do Sol,PT,77.72,few clouds,32.6667,-17.1,Hotel do Campo
139,Guarapari,BR,78.28,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
140,Tefe,BR,77.11,few clouds,-3.3542,-64.7114,Aracati Hotel
141,Baft,IR,71.8,clear sky,29.234,56.6057,Paeez Hotel & restaurant
143,Puerto Carreno,CO,75.18,clear sky,6.189,-67.4859,Casa Hotel Victoria
144,Ochakiv,UA,67.87,overcast clouds,46.6128,31.5498,Briz
145,Pizarro,CO,73.67,heavy intensity rain,4.9533,-77.366,Hotel Limonar
148,Pauini,BR,78.62,broken clouds,-7.7136,-66.9764,Casa do Kiwliks
157,Mabaruma,GY,78.8,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
158,Tibu,CO,74.89,overcast clouds,8.639,-72.7358,Hotel Yuliana's
163,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
169,Muisne,EC,73.78,overcast clouds,0.6,-80.0333,Quinta Samay
172,Quatre Cocos,MU,77.11,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
174,Plopsoru,RO,71.29,scattered clouds,44.7833,23.35,
180,Coruripe,BR,79.36,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
188,Manta,EC,67.78,overcast clouds,-0.95,-80.7333,Balandra Hotel
189,Vila Franca Do Campo,PT,75.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
191,Gilgit,PK,72.95,few clouds,35.9221,74.3087,Tourist Hamlet Gilgit
193,La Palma,US,69.82,mist,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
195,Repalle,IN,79.92,overcast clouds,16.0167,80.85,Gopi Krishna KONDETI
197,Malini,RO,71.42,broken clouds,47.4667,26.0833,Euforie nord
211,Praia Da Vitoria,PT,73.65,broken clouds,38.7333,-27.0667,Hotel Branco I
212,Imbituba,BR,68.77,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
213,Lasa,IT,67.08,few clouds,46.6166,10.7002,Pension Feldgärtenhof
215,Bredasdorp,ZA,73.89,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
223,Cayeli,TR,72.07,overcast clouds,41.0923,40.7292,Grand Cavusoglu Hotel
224,San Rafael Del Sur,NI,74.37,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
225,Bumba,CD,79.52,light rain,2.1833,22.4667,Père Carlos
227,Karaton,ID,75.49,moderate rain,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
